paragraph,answer-question
"Die Zuweisungen und die Nachrichtenausdrücke sind wichtig. 
Zuweisungen bewirken als einzige Ausdrücke den Zustandswechsel von Objekten. 
Die Nachrichtenausdrücke sind wichtig, weil ja das Weltbild der objektorientierten Programmierung umgesetzt werden muss: Es gibt Objekte, die einander Nachrichten schicken und die in Reaktion auf diese Nachrichten ihren Zustand ändern. 
Nachrichtenausdrücke werden ausgewertet, in dem die Nachricht an das Empfängerobjekt mit den Parametern gesendet und das Empfängerobjekt als Ergebnis der Nachricht ein Objekt zurückliefert.",<answer> Zuweisungen bewirken als einzige Ausdrücke den Zustandswechsel von Objekten <answer> <question> Warum sind  Zuweisungen wichtige Ausdrucksformen? <question>
"Die Zuweisungen und die Nachrichtenausdrücke sind wichtig. 
Zuweisungen bewirken als einzige Ausdrücke den Zustandswechsel von Objekten. 
Die Nachrichtenausdrücke sind wichtig, weil ja das Weltbild der objektorientierten Programmierung umgesetzt werden muss: Es gibt Objekte, die einander Nachrichten schicken und die in Reaktion auf diese Nachrichten ihren Zustand ändern. 
Nachrichtenausdrücke werden ausgewertet, in dem die Nachricht an das Empfängerobjekt mit den Parametern gesendet und das Empfängerobjekt als Ergebnis der Nachricht ein Objekt zurückliefert.","<answer> Objekte, die einander Nachrichten schicken und die in Reaktion auf diese Nachrichten ihren Zustand ändern <answer> <question> Warum sind  Nachrichtenausdrücke wichtige Ausdrucksformen? <question>"
"Methodendefinitionen beschreiben, was ein Objekt in Reaktion auf den Erhalt einer entsprechenden Nachricht tun soll. ",<answer> was ein Objekt in Reaktion auf den Erhalt einer entsprechenden Nachricht tun soll <answer> <question> Was beschreiben Methodendefinitionen?  <question>
"Aus Effzienzgründen wird in SMALLTALK ein Nachrichtenausdruck in einen Methodenaufruf übersetzt. Wann immer ein Objekt eine Nachricht an ein Empfängerobjekt verschickt, wechselt der Kontrollfluss damit zum Empfängerobjekt, genauer zu der Methode des Empfängerobjekts, das zur Reaktion auf die Nachricht vorgesehen ist. Nach der Abarbeitung der Methode kehrt der Kontrollfluss an das sendende Objekt (genauer: zu der Methode, aus der die Nachricht versandt wurde) zurück und setzt seine Arbeit dort fort. Bei der Rückkehr wird auch das Ergebnis der Methode, (eine Referenz auf) ein Objekt, geliefert, das dann an der Stelle des Nachrichtenausdrucks, der den Methodenaufruf bewirkt hat, eingesetzt wird. 
Es gibt aber auch die Variante mittels perform:.In SMALLTALK sind auch Nachrichten Objekte. Um tatsächlich als Nachrichtenobjekt an ein Objekt verschickt zu werden, muss man sich eines speziellen Methodenaufrufs, perform:, bedienen, der es erlaubt, einem Empfängerobjekt eine Nachricht als Objekt (wenn auch nur als Parameter von perform:) zu senden. Das Empfängerobjekt reagiert darauf mit der Abarbeitung der zur Nachricht passenden Methode ganz so, als hätte es direkt einen entsprechenden Methodenaufruf erhalten.",<answer> ein Nachrichtenausdruck in einen Methodenaufruf übersetzt <answer> <question> Wie funktioniert das Versenden von Nachrichten in SMALLTALK?  <question>
"Methodenaufrufe in der objektorientierten Programmierung werden oft mit Funktionsaufrufen in der prozeduralen Programmierung verglichen. Der Unterschied besteht in der Abhängigkeit vom Empfängerobjekt: Die Entscheidung, welche Methode in Reaktion auf einen Nachrichtenversand aufgerufen und abgearbeitet wird, hängt nicht von dem Nachrichtenselektor allein ab, sondern auch von dem Objekt, an das die Nachricht geschickt wird. Es ist nämlich durchaus üblich, dass verschiedene Objekte mit gleichen Methodensignaturen unterschiedliche Methodenimplementierungen verbinden; so implementieren beispielsweise Zahlen und Symbole die Methode printString jeweils anders. 
Aus der Abhängigkeit des Methodenaufrufs vom Empfängerobjekt folgt, dass nicht immer schon zur übersetzungszeit entschieden werden kann, welche Methodenimplementierung bei einem Methodenaufruf ausgewählt werden muss. Wenn nämlich das Empfängerobjekt durch eine Variable benannt oder von einem Ausdruck geliefert wird, kann die Zuordnung einer Methodendefinition zu einem Nachrichtenausdruck erst zum Zeitpunkt der Auswertung des Nachrichtenausdrucks und damit erst zur Laufzeit erfolgen (dynamisches Binden).",<answer> Abhängigkeit vom Empfängerobjekt <answer> <question> Was ist der Unterschied von Methodenaufrufen in der objektorientierten Programmierung zum gewöhnlichen Prozeduraufruf <question>
"Es ist bei der klassenbasierten Form nicht vorgesehen, dass verschiedene Instanzen einer Klasse über verschiedene Definitionen einer Methode (genauer: über verschiedene Definitionen von zu der Nachricht passenden Methoden) verfügen. 
Die prototypenbasierte Form der Objektorientierung kann sehr viel flexibler einzelne Objekte an ihren jeweiligen Zweck anpassen, z.B. indem sie eine Methodendefinition nur für ein einziges Objekt abzuändern erlaubt. Letzteres ist z.B. bei der Programmierung von grafschen Bedienoberflächen, bei der das Drücken verschiedener Buttons jeweils verschiedene Ereignisse auslöst (Methoden aufruft), sehr praktisch. ",<answer> verschiedene Instanzen einer Klasse über verschiedene Definitionen einer Methode <answer> <question> Was unterscheidet die klassenbasierte von der prototypenbasierten Form der objektorientierten Programmierung? <question>
"Die Programmierpraxis hat gezeigt, dass es günstig ist, wenn jede Klasse (als Instanz) ihre eigenen Instanzvariablen und Methoden besitzt und wenn die Programmiererin diese jeweils frei bestimmen kann, ohne dabei gleichzeitig an andere Klassen denken zu müssen. Um dies zu ermöglichen, muss aber jede Klasse Instanz einer eigenen Klasse sein, in der diese Variablen und Methoden nur für sie angelegt werden können. Und genau das ist in SMALLTALK der Fall. 
Zu jeder Klasse des SMALLTALK-Systems gehört nämlich genau eine Klasse, von der erstere (und nur diese) eine Instanz ist. Diese zweite Klasse wird Metaklasse der ersten genannt.","<answer> günstig ist, wenn jede Klasse (als Instanz) ihre eigenen Instanzvariablen und Methoden besitzt und wenn die Programmiererin diese jeweils frei bestimmen kann <answer> <question> Warum ist es sinnvoll, dass zu jeder Klasse des SMALLTALK-Systems genau eine Metaklasse gehört? <question>"
"Ein Konstruktor ist eine Methode, die, auf einer Klasse aufgerufen, eine neue Instanz dieser Klasse zurückgibt (es handelt sich also aus Sicht der erzeugten Instanz um eine Klassenmethode). ","<answer> eine Methode, die, auf einer Klasse aufgerufen, eine neue Instanz dieser Klasse zurückgibt <answer> <question> Was ist ein Konstruktor? <question>"
"Eine Factory-Methode ist eine Methode, die wie ein Konstruktor eine neue Instanz liefert, die aber die Klasse der Instanz von anderen Faktoren als nur der Klasse, zu der die Methode gehört, abhängig macht. Zum Beispiel könnte eine Klasse Number eine (Klassen-)Methode fromString: vorsehen, die anhand eines zu analysierenden Strings entweder eine Instanz der Klasse Integer oder eine der Klasse Float zurückgibt. 
Da in SMALLTALK Konstruktoren ganz normale Klassenmethoden sind, sind sie an keine besonderen Konventionen gebunden. Sie müssen also insbesondere nicht ein neues Objekt genau der Klasse, der sie angehören, zurückgeben. Die Factory-Methoden sind dann solche Klassenmethoden. ","<answer> eine Methode, die wie ein Konstruktor eine neue Instanz liefert, die aber die Klasse der Instanz von anderen Faktoren als nur der Klasse, zu der die Methode gehört, abhängig macht <answer> <question> Was sind Factory-Methoden? <question>"
"Während die Generalisierung Eigenschaften weglässt oder generalisiert (Abstraktion), fügt die Spezialisierung Eigenschaften hinzu oder spezialisiert bereits vorhandene.","<answer> die Generalisierung Eigenschaften weglässt oder generalisiert (Abstraktion), fügt die Spezialisierung Eigenschaften hinzu oder spezialisiert <answer> <question> Was geschieht bei der Generalisierung/Spezialisierung? <question>"
Unter Vererbung versteht man in der objektorientierten Programmierung die übertragung der Definition von Eigenschaften und Verhalten (Intension) von einer Klasse auf eine andere. Vererbung dient vor allem der Wiederverwendung von Code und damit der ökonomie in der Softwareentwicklung.,<answer> die übertragung der Definition von Eigenschaften und Verhalten (Intension) von einer Klasse auf eine andere <answer> <question> Was versteht man in der objektorientierten Programmierung unter Vererbung? <question>
"Wenn man das Prinzip von Generalisierung und Spezialisierung vor Augen hat, dann ist die Vererbung eigentlich nur noch ein Mechanismus, der Definitionen von einer Klasse auf eine andere überträgt. So wird jede benannte Instanzvariable, die in einer Generalisierung deklariert ist, nicht nur für Instanzen dieser Generalisierung (so sie denn welche hat) angelegt, sondern auch für die Instanzen all ihrer Spezialisierungen. Analog stehen Methoden, die in einer Generalisierung definiert werden, auch ihren Spezialisierungen zur Verfügung, und zwar beinahe so, als wären sie in den Spezialisierungen definiert. Verwendet man Vererbung zur Ausnutzung von ähnlichkeiten, so ist nicht sichergestellt, dass auch eine Spezialisierungs- bzw. Generalisierungsbeziehung besteht.","<answer> Vererbung zur Ausnutzung von ähnlichkeiten, so ist nicht sichergestellt, dass auch eine Spezialisierungs- bzw. Generalisierungsbeziehung besteht <answer> <question> Wie hängen Generalisierung/Spezialisierung und Vererbung zusammen? <question>"
"Der Aufruf einer abstrakten, d. h. in der Klasse nicht implementierten Methode aus der Klasse selbst heraus ist ein gängiges Muster der objektorientierten Programmierung. Man nennt es auch offene Rekursion, da der Aufruf auf dem Objekt selbst erfolgt (also gewissermaßen rekursiv ist), aber an der aufrufenden Stelle noch nicht klar (offen) ist, welche (erbende) Klasse die Implementierung liefert.",<answer> Aufruf auf dem Objekt selbst <answer> <question> Was versteht man unter offener Rekursion? <question>
"Wenn eine Methode auf einem Empfängerobjekt aufgerufen wird, wird zunächst geprüft, ob die Methode im zur Klasse des Empfängers gehörenden Methodenwörterbuch enthalten ist. Wird die Methode gefunden, dann wird sie ausgeführt. Wird sie nicht gefunden, wird zunächst in der direkten Superklasse der Klasse des Objekts weitergesucht und dann in deren direkter Superklasse usw. bis zur Klasse Object. Sobald die Methode gefunden wird, wird sie ausgeführt. Wird die Methode auch in Object nicht gefunden, kommt es zum Versenden der Nachricht doesNotUnderstand: an den ursprünglichen Empfänger mit der ursprünglichen, problematischen Nachricht als Argument.","<answer> Sobald die Methode gefunden wird, wird sie ausgeführt <answer> <question> Wie geht (in SMALLTALK) das dynamische Binden von Methodenaufrufen vonstatten? <question>"
"Unter aktiven Objekten würde man sich vorstellen, dass sie über einen Prozess verfügen, der nur die eigenen Methoden ausführt. Erhält ein aktives Objekt eine Nachricht, dann nimmt es diese an und arbeitet sie ab, sobald es die Zeit dazu hat. Die Kommunikation aktiver Objekte würde nämlich asynchron ablaufen, wenn mit der Nachricht (dem Methodenaufruf) nicht auch ein Prozess verbunden ist (was ja dem klassischen Prozeduraufruf entspräche). Aktive Objekte wären aber sehr aufwendig und deswegen setzt die objektorientierte Programmierung in der Praxis auf passive.","<answer> dass sie über einen Prozess verfügen, der nur die eigenen Methoden ausführt <answer> <question> Was versteht man unter aktiven Objekten? <question>"
"Man synchronisiert parallele Prozesse mittels geteilter Warteschlangen: Man verwendet die Klasse SharedQueue, deren Instanzen anstelle von Signalen (die ja einfach nur gezählt werden) Objekte aufnehmen und die eine Synchronisation über next und nextPut: erlauben. Wenn man nun eine solche Shared queue einem Objekt zuordnet und von anderen Objekten verlangt, dass sie Nachrichten, anstatt sie dem Objekt zu schicken (und damit eine Methode des Objekts im eigenen Prozess aufzurufen), in diese Queue einstellen, und dann das Objekt mit einem Prozess, der in einer Endlosschleife läuft, diese Queue auslesen lässt, dann hat man tatsächlich ""aktive Objekte, die einander Nachrichten schicken"".",<answer> mittels geteilter Warteschlangen <answer> <question> Wie kann man parallele Prozesse synchronisieren? <question>
"Typen sind abstrakte Spezifikationen, die zum einen den Wertebereich von Variablen einschränken und zum anderen das Protokoll (den Funktionsumfang) von Objekten angeben.","<answer> abstrakte Spezifikationen, die zum einen den Wertebereich von Variablen einschränken und zum anderen das Protokoll (den Funktionsumfang) von Objekten angeben. <answer> <question> Was sind Typen? <question>"
"Typisierung regelt das Speicher-Layout. 
Typisierung erlaubt die effizientere Ausführung eines Programms. 
Typisierung erhöht die Lesbarkeit eines Programms. 
Typisierung ermöglicht das automatische Finden von logischen Fehlern in einem Programm. 
Durch das Typsystem entsteht eine Modularisierung des Programms, wenn ein Typ zugleich eine Schnittstelle oder ein Interface ausdrückt. Typen dienen damit der Wahrung des Implementationsgeheimnisses / Einhaltung der Schnittstellen durch den Compiler. 
Der Compiler kann anhand des Typs einer Variable bestimmen, wie viel Speicherplatz er für die Aufnahme eines Wertes reservieren muss. Dies ist jedoch naturgemäß nur für Variablen mit Wertsemantik relevant und daher für die objektorientierte Programmierung, insbesondere für Sprachen wie SMALLTALK (in denen Referenzsemantik vorherrscht), von untergeordneter Bedeutung. ","<answer> regelt das Speicher-Layout. 
Typisierung erlaubt die effizientere Ausführung eines Programms. 
Typisierung erhöht die Lesbarkeit eines Programms. 
Typisierung ermöglicht das automatische Finden von logischen Fehlern in einem Programm. 
Durch das Typsystem entsteht eine Modularisierung des Programms, wenn ein Typ zugleich eine Schnittstelle oder ein Interface ausdrückt. Typen dienen damit der Wahrung des Implementationsgeheimnisses / Einhaltung der Schnittstellen durch den Compiler. 
Der Compiler kann anhand des Typs einer Variable bestimmen, wie viel Speicherplatz er für die Aufnahme eines Wertes reservieren muss <answer> <question> Warum typisiert man Variablen und Programmelemente? <question>"
"Ein Typsystem muss lediglich alle Wertzuweisungen in einem Programm überprüfen, um Freiheit von semantischen Fehlern zu garantieren. Dazu zählen allerdings auch die impliziten Zuweisungen bei Methodenaufrufen, die, auch wegen des dynamischen Bindens, nicht immer alle offensichtlich sind.","<answer> alle Wertzuweisungen in einem Programm <answer> <question> Was muss ein Typsystem überprüfen, um in einem Programm Freiheit von semantischen Fehlern zu garantieren? <question>"
"Bei der dynamischen Typprüfung prüft man zur Laufzeit vor einer Variablenzuweisung, ob der zuzuweisende Wert den von der Variable geforderten Typ hat.","<answer> prüft man zur Laufzeit vor einer Variablenzuweisung, ob der zuzuweisende Wert den von der Variable geforderten Typ hat <answer> <question> Was versteht man unter dynamischer Typprüfung? <question>"
"SMALLTALK führt keine dynamische Typprüfung durchführt, da Typfehler erst im letztmöglichen Moment offenbar werden, nämlich wenn auf einer Variable eine Methode aufgerufen werden soll, die für das Objekt, auf das die Variable verweist, gar nicht definiert ist.",<answer> keine dynamische Typprüfung <answer> <question> Führt SMALLTALK dynamische Typprüfung durch? <question>
"Bei der statischen Typprüfung soll die Typkorrektheit zur übersetzungszeit gewährleistet werden. Die Typprüfung ist Aufgabe des Compilers. Nachteil der rein statischen Typprüfung ist, dass sie auch Programme zurückweist, die nützlich, sinnvoll und typkorrekt sind.",<answer> soll die Typkorrektheit zur übersetzungszeit gewährleistet werden <answer> <question> Was versteht man unter statischer Typprüfung? <question>
"Bei der statischen Typprüfung soll die Typkorrektheit zur übersetzungszeit gewährleistet werden. Die Typprüfung ist Aufgabe des Compilers. Nachteil der rein statischen Typprüfung ist, dass sie auch Programme zurückweist, die nützlich, sinnvoll und typkorrekt sind.","<answer> auch Programme zurückweist, die nützlich, sinnvoll und typkorrekt sind <answer> <question> Was versteht man unter statischer Typprüfung? <question>"
"Ein Subtyp ist als ein Typ definiert, dessen Werte oder Objekte überall da auftauchen dürfen, wo ein Wert des Typs, von dem er ein Subtyp ist, verlangt wird. Subtyp steht dabei nicht für eine besondere Art von Typ, sondern vielmehr für eine Rolle in einer Beziehung zwischen zwei Typen, nämlich der Subtypenbeziehung. Die Gegenrolle heißt Supertyp. 
Ein Subtyp ist also mit seinem Supertyp per Definition zuweisungskompatibel. 
Es gilt die folgende Regel: ""Wenn ein Typ Y ein Subtyp eines Typs X ist, dann müssen alle Bedingungen, die für Objekte des Typs X erfüllt sind, auch für Objekte des Typs Y erfüllt sein.""","<answer> ein Typ definiert, dessen Werte oder Objekte überall da auftauchen dürfen, wo ein Wert des Typs, von dem er ein Subtyp ist, verlangt wird <answer> <question> Was ist ein Suptyp? <question>"
"In Java ist das Array Loewe[ ] Subtyp des Katzen-Array Katze[ ], wenn  Loewe Subtyp von Katze ist. Man hat hier auf die statische Typprüfung zugunsten einer dynamischen Typprüfung mit möglicher Meldung eines Laufzeitfehlers verzichtet. Dies tut man immer dann, wenn die statische Typprüfung Programme verhindert, die man gern schreiben möchte und die auch korrekt sein können, ohne dass dies jedoch vom Compiler garantiert werden könnte. Beispiele dafür sind Programme, die Prozeduren verwenden, die auf einer Menge von Objekten durchgeführt werden können sollen, die aber nicht verlangen, dass die Elemente alle vom gleichen Typ sind, sondern statt dessen gestatten, dass auch Elemente von Subtypen darunter vorkommen.","<answer> immer dann, wenn die statische Typprüfung Programme verhindert, die man gern schreiben möchte und die auch korrekt sein können <answer> <question> Wann verzichtet man auf die statische Typprüfung zugunsten einer dynamischen Typprüfung? <question>"
"Unter Inklusionspolymorphie versteht man im Wesentlichen dasselbe wie unter Subtyping: Wo Objekte eines Typs erwartet werden, können Objekte anderer Typen erscheinen, weil der erste Typ die anderen subsumiert (inkludiert). Der Begriff ist vor allem in Abgrenzung zum parametrischen Polymorphismus gebräuchlich; sonst redet man eher von Subtyping. ",<answer> dasselbe wie unter Subtyping <answer> <question> Was versteht man unter Inklusionspolymorphie? <question>
"Klassen dienen der Angabe von Implementierungen und damit als Container von ausführbarem Code; Typen dienen der Formulierung von Invarianten, die für Variablenbelegungen gelten müssen und deren Verletzung auf einen (logischen oder semantischen) Programmierfehler hinweist. Da beide im Wesentlichen über die gleichen Elemente verfügen, lässt sich die Definition beider in einem Sprachkonstrukt zusammenfassen. 
Der Unterschied der beiden Konzepte Klasse und Typ manifestiert sich auch darin, welche Rolle sie zur Laufzeit eines Programms spielen: Typinformation beeinflusst die Ausführung eines laufenden Programms insofern, als sie ein Programm bei Verletzung einer Invariante abbrechen läßt (durch einen dynamischen Typtest) und damit einem anderen, schwieriger zuordenbaren Fehler zuvorkommt. Klasseninformation beeinflusst die Ausführung des laufenden Programms insofern, als sie Grundlage des dynamischen Bindens ist und in einem Programm als Eigenschaft von Objekten abgefragt werden kann.",<answer> Da beide im Wesentlichen über die gleichen Elemente verfügen <answer> <question> Warum hält eine Klassendefinition in der Regel sinnvollerweise auch als Typdefinition her? <question>
"Klassen dienen der Angabe von Implementierungen und damit als Container von ausführbarem Code; Typen dienen der Formulierung von Invarianten, die für Variablenbelegungen gelten müssen und deren Verletzung auf einen (logischen oder semantischen) Programmierfehler hinweist. Da beide im Wesentlichen über die gleichen Elemente verfügen, lässt sich die Definition beider in einem Sprachkonstrukt zusammenfassen. 
Der Unterschied der beiden Konzepte Klasse und Typ manifestiert sich auch darin, welche Rolle sie zur Laufzeit eines Programms spielen: Typinformation beeinflusst die Ausführung eines laufenden Programms insofern, als sie ein Programm bei Verletzung einer Invariante abbrechen läßt (durch einen dynamischen Typtest) und damit einem anderen, schwieriger zuordenbaren Fehler zuvorkommt. Klasseninformation beeinflusst die Ausführung des laufenden Programms insofern, als sie Grundlage des dynamischen Bindens ist und in einem Programm als Eigenschaft von Objekten abgefragt werden kann.",<answer> welche Rolle sie zur Laufzeit eines Programms spielen <answer> <question> Wo manifestiert sich der Unterschied der beiden Konzepte Klasse und Typ? <question>
"Eine parametrische Typdefinition unterscheidet sich von einer normalen dadurch, dass in der Typdefinition verwendete, andere Typen nicht genannt (referenziert) werden müssen, sondern durch Platzhalter, die Typparameter, vertreten werden können. Diese Platzhalter sind Variablen, deren Wert implizit (also ohne entsprechende Deklaration) auf Typen beschränkt ist; man nennt sie auch Typvariablen. Diese Typvariablen werden erst bei der Verwendung eines parametrisierten Typs in der Deklaration eines anderen Programmelements mit einem Wert, also einem Typ, belegt. Man spricht bei dieser Wertzuweisung an eine Typvariable von einer Instanziierung des parametrischen Typs; erst bei ihr entsteht ein konkreter Wertebereich, der dann dem deklarierten Programmelement zugeordnet wird. Insbesondere hat ein parametrischer Typ, bei dem Typvariablen nicht belegt sind, keinen konkreten Wertebereich.",<answer> Wertzuweisung an eine Typvariable <answer> <question> Was versteht man unter Instanziierung des parametrischen Typs? <question>
Die Verwendung eines parametrisch definierten Typs führt bereits zur übersetzungszeit zu einer Zuweisung an die Typvariablen.,<answer> zur übersetzungszeit <answer> <question> Zu welchem Zeitpunkt führt die Verwendung eines parametrisch definierten Typs zu einer Zuweisung an die Typvariable? <question>
Dies sind Collections mit Typvariablen E und Dictionary mit den Typvariablen S und E.,<answer> Collections <answer> <question> Welche Klassen sind ein Standardanwendungsfall für parametrischen Polymorphismus? <question>
"Zur Vermeidung einer Sicherheitslücke in der statischen Typprüfung: Collections sind das typische Beispiel für die Verwendung des parametrschen Polymorphismus. Man könnte die Collections aber auch als Collections von Object definieren. Da in STRONGTALK alle Typen Subtypen von Object sind, kann man jedes beliebige Objekt in einer solchen Collection speichern. Wenn ein solches Objekt von einem Subtyp von Object ist, muss man eine Typumwandlung durchführen, wenn man spezielle Subtypeigenschaften dieses Objektes nutzen will. Die Zulässigkeit dieses Down cast ist aber davon abhängig, was wirklich in der Collection drinsteckt, und das kann der Compiler nicht (oder nur sehr aufwendig) feststellen. Die Lösung, die Inklusionspolymorphie bietet, beinhaltet also eine Sicherheitslücke in der statischen Typprüfung, die der parametrische Polymorphismus behebt.",<answer> Vermeidung einer Sicherheitslücke in der statischen Typprüfung <answer> <question> Warum benötigt man den einfachen parametrischen Polymorphismus? <question>
